description,coarsedescription,Comment
ACCOUNTING/COMPLIANCE,ACCOUNTING/COMPLIANCE,
ACCOUNTING/COMPLIANCE EST,ACCOUNTING/COMPLIANCE,
"AD, DOORBELLER DESIGN (KAYLORMADE)",ADVERTISEMENT,
ADVERTISEMENT,ADVERTISEMENT,
DISPLAY AD IN BEACON HILL NEWS,ADVERTISEMENT,
BONUS (CONTINGENT),CAMPAIGN MANAGEMENT,
CAMPAIGN MANAGEMENT,CAMPAIGN MANAGEMENT,
CAMPAIGN MANAGEMENT FEE,CAMPAIGN MANAGEMENT,
MILEAGE @ 644 MILESX.55 IRS RATE CAMPAIGN MNGR,CAMPAIGN MANAGEMENT,
CAR LEASE,CAR LEASE,
CARRY FORWARD DEBT,CARRY FORWARD DEBT,
CARRY FORWARD DEBT FROM LAST CAMPIAGN,CARRY FORWARD DEBT,
APRIL RETAINER,CONSULTING,"APRIL RETAINER WAS PAID TO WINPOWER STRATEGIES, A CAMPAIGN CONSULTING FIRM"
AUGUST CONSULTING,CONSULTING,
CONSULTING,CONSULTING,
CONSULTING ESTIMATE,CONSULTING,
CONSULTING/LITERATURE DESIGN/PRINTING/TELEPHONE,CONSULTING,
CONSULTING/LITERATURE PRINTING & DESIGN,CONSULTING,
CONSULTING/PHOTOGRAPHY,CONSULTING,
CONSULTING/POSTAGE,CONSULTING,
CONSULTING/POSTAGE/EVENT FOOD,CONSULTING,
CONSULTING/PRINTING,CONSULTING,
CONSULTING/TRAVEL,CONSULTING,
CONSULTING/YARD SIGNS,CONSULTING,
MAY CONSULTING SERVICES,CONSULTING,
MONTHLY CONSULTING FEE,CONSULTING,
REMITS INVOICE 6331,CONSULTING,"This was paid to Northwest Passage, a consulting firm."
CREDIT CARD FEES,CREDIT CARD FEES,
,CREDIT CARD PAYMENTS,Description intentionally left blank.  All rows with blank descriptions are payments to credit cards.
FUNDRAISER FOOD,EVENT COSTS,
"REIMB MTG EXP (SORRENTO, ANTHONYS, ACQUA VIA)",EVENT COSTS,
"REIMB. EVENT COSTS (USPS, OFFICE DEPOT, RITE AID)",EVENT COSTS,
REIMB. MTG EXP (MERCATO),EVENT COSTS,
REIMB. MTG EXP (TUTTA BELLA),EVENT COSTS,
